Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active,Image
Suspended,@NashvilleAntifa,820888747030016000,NashvilleAntifa,57,0,2017-01-16,2017-01-16,https://pbs.twimg.com/profile_images/820889073359421440/VbgnaJ6F_normal.jpg
Suspended,@Nationalantifa,902215130460688385,Shaholo,12,54,2017-08-28,2017-08-28,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Suspended,@NewportAntifa,1182381602611040256,NewportAntifa,0,0,2019-10-10,2019-10-10,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Suspended,@NMantifa,1328113068,New Mexico Antifa,52,76,2013-04-04,2013-04-04,https://pbs.twimg.com/profile_images/862041488997335040/j5KK0yKt_normal.jpg
Suspended,@nskantifa,717914842481500160,NSKNTIFA,15,851,2016-04-06,2016-04-06,https://pbs.twimg.com/profile_images/907876831377874944/0qjrujpp_normal.jpg
Suspended,@NWIndianaAntiFa,904462978652803073,NWIndianaAntiFa,34,258,2017-09-03,2017-09-03,https://pbs.twimg.com/profile_images/904785427302936576/CkXHzbbG_normal.jpg
Suspended,@PisspigNephew,873333962646601731,Roseville Antifa,31,10,2017-06-09,2017-06-09,https://pbs.twimg.com/profile_images/873335274494861312/V5OK9PLv_normal.jpg
Suspended,@plentyoffash,181782082,Plenty of Fash™ 🌹,649,6885,2010-08-22,2010-08-22,https://pbs.twimg.com/profile_images/910135547213074435/lmsaZ-b3_normal.jpg
Suspended,@progman15,1007302491820552193,boulder antifa,36,435,2018-06-14,2018-06-14,https://pbs.twimg.com/profile_images/1016459235608023041/z4HNpSdv_normal.jpg
Suspended,@project_grizzly,896562774779846658,Project Grizzly,20,14,2017-08-12,2017-08-12,https://pbs.twimg.com/profile_images/896563213944401921/_OePQLcv_normal.jpg
Suspended,@punchanazi81,900556461679489024,Punch a Nazi,1,7,2017-08-23,2017-08-23,https://pbs.twimg.com/profile_images/900556712930881537/vj1roa_3_normal.jpg
Suspended,@real_antifa,848064887309959169,LBGTQ Antifa,5,5,2017-04-01,2017-04-01,https://pbs.twimg.com/profile_images/848066562024062976/5Wm2HDv__normal.jpg
Suspended,@RealMkeAntifa,904688650046320640,Real MKE Antifa 🎈,188,882,2017-09-04,2017-09-04,https://pbs.twimg.com/profile_images/904693151864037376/YuYZWpTn_normal.jpg
Suspended,@RedActionAFA,860111960641347585,Red Action,35,289,2017-05-04,2017-05-04,https://pbs.twimg.com/profile_images/860117099854917632/G67JeN9f_normal.jpg
Suspended,@RedneckAntifa,502446133,Redneck Antifa,33,8,2012-02-24,2012-02-24,https://pbs.twimg.com/profile_images/849053826606878720/sI1aCmDu_normal.jpg
Suspended,@RedWeagle99,3161699157,The Red Coder,15,119,2015-04-12,2015-04-12,https://pbs.twimg.com/profile_images/587422859670069249/3TZvLg1M_normal.png
Suspended,@Reformed_Antifa,860269595768365060,Antifa of Charlotte,75,29,2017-05-04,2017-05-04,https://pbs.twimg.com/profile_images/860277055237353473/ra_1u152_normal.jpg
Suspended,@robert_merzhil,997550847964991488,Robert Merzhil,3,25,2018-05-18,2018-05-18,https://pbs.twimg.com/profile_images/997565519246036992/gd7VrjxM_normal.jpg
Suspended,@SamaelFawkes,832359419203768320,Agir,483,5033,2017-02-16,2017-02-16,https://pbs.twimg.com/profile_images/1060230204440956930/Fv8T6zgy_normal.jpg
Suspended,@SBC_Antifa,903751072124198912,Shreveport Antifa,15,62,2017-09-01,2017-09-01,https://pbs.twimg.com/profile_images/903751895000461312/lDhuSDH4_normal.jpg
